date,description,debit,credit,account
2022-10-28,"HOUSE OF DOSA VANCOUVER, BC",30.94,,cc
2022-10-25,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",26.22,,cc
2022-10-24,"VPN* VW8X6Q4N91 GOTHENBURG, S 15.00 EUR @ 1.385333",20.78,,cc
2022-10-24,"BUY LOW FOODS VANCOUVER, BC",28.51,,cc
2022-10-24,"TIM HORTONS #2940 VANCOUVER, BC",4.42,,cc
2022-10-24,"COMPASS WEB 604-398-2042, BC",21.60,,cc
2022-10-24,"NOOR CONVENIENCE AND DONA VANCOUVER, BC",14.09,,cc
2022-10-24,"Kalais Curry Kitchen VANCOUVER, BC",20.00,,cc
2022-10-24,"COMPASS ACCOUNT 604-398-2042, BC",3.10,,cc
2022-10-24,"STARBUCKS 04464 VANCOUVER, BC",5.80,,cc
2022-10-24,"DHALIWAL SWEETS ABBOTSFOR SURREY, BC",25.18,,cc
2022-10-24,"PUBLIC MOBILE 855-4782542, BC",16.80,,cc
2022-10-21,"FRASER MARKET VANCOUVER, BC",18.82,,cc
2022-10-21,PAYMENT THANK YOU/PAIEMEN T MERCI,,115.68,cc
2022-10-20,"STARBUCKS 04464 VANCOUVER, BC",6.53,,cc
2022-10-20,"KILIMANJARO SNACKHOUSE & VANCOUVER, BC",16.22,,cc
2022-10-20,Internet Banking INTERNET TRANSFER 000000133600,115.68,,chk
2022-10-19,"BREKA BAKERY & CAFE VANCOUVER, BC",4.83,,cc
2022-10-19,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",12.13,,cc
2022-10-18,"SQ *VEGAN FRIED CHICKUN Vancouver, BC",21.55,,cc
2022-10-17,"STARBUCKS 04464 VANCOUVER, BC",6.53,,cc
2022-10-17,"DHALIWAL SWEETS ABBOTSFOR SURREY, BC",3.94,,cc
2022-10-14,"SQ *TANDOORI OVEN RESTAUR Vancouver, BC",38.36,,cc
2022-10-14,PAYMENT THANK YOU/PAIEMEN T MERCI,,184.08,cc
2022-10-13,"Amazon.ca Prime Member amazon.ca/pri, BC",5.59,,cc
2022-10-13,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",12.53,,cc
2022-10-13,Internet Banking INTERNET TRANSFER 000000228701,184.08,,chk
2022-10-12,"CINEPLEX REC ROOM 1001 BURNABY, BC",48.72,,cc
2022-10-12,"GARDEN FRESH FOOD & GROC VANCOUVER, BC",4.18,,cc
2022-10-12,"BREKA BAKERY & CAFE VANCOUVER, BC",8.75,,cc
2022-10-11,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",13.38,,cc
2022-10-11,"Kalais Curry Kitchen VANCOUVER, BC",12.60,,cc
2022-10-11,"STARBUCKS 04464 VANCOUVER, BC",6.53,,cc
2022-10-11,"REXALL PHARMACY #7159 VANCOUVER, BC",26.28,,cc
2022-10-11,"BREKA BAKERY & CAFE VANCOUVER, BC",9.06,,cc
2022-10-11,"CHURCH'S CHICKEN VANCOUVER, BC",21.36,,cc
2022-10-07,"STARBUCKS 04464 VANCOUVER, BC",11.83,,cc
2022-10-07,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",4.99,,cc
2022-10-06,"BUY LOW FOODS VANCOUVER, BC",30.00,,cc
2022-10-06,"Earnest Ice Cream North Vancouv, BC",6.50,,cc
2022-10-06,"HOUSE OF DOSA VANCOUVER, BC",32.19,,cc
2022-10-05,PAYMENT THANK YOU/PAIEMEN T MERCI,,164.72,cc
2022-10-05,"STARBUCKS 04464 VANCOUVER, BC",12.57,,cc
2022-10-04,"Kalais Curry Kitchen VANCOUVER, BC",7.35,,cc
2022-10-04,Internet Banking INTERNET TRANSFER 000000228023,164.72,,chk
2022-10-03,"Subway 13197 Vancouver, BC",7.39,,cc
2022-10-03,"BREKA BAKERY & CAFE VANCOUVER, BC",11.17,,cc
2022-10-03,"KAFKA'S COFFEE(GREAT NORT VANCOUVER, BC",11.68,,cc
2022-10-03,"Kalais Curry Kitchen VANCOUVER, BC",12.00,,cc
2022-10-03,"STARBUCKS 04464 VANCOUVER, BC",5.80,,cc
2022-10-03,"DHALIWAL SWEETS ABBOTSFOR SURREY, BC",3.94,,cc
2022-10-03,Internet Banking E-TRANSFER 010593021861 Raymond Kwong,800.00,,chk
2022-09-29,Branch Transaction INTEREST,,3.76,sav
2022-09-29,"BREKA BAKERY & CAFE VANCOUVER, BC",3.16,,cc
2022-09-29,PAYMENT THANK YOU/PAIEMEN T MERCI,,192.76,cc
2022-09-29,PAYMENT THANK YOU/PAIEMEN T MERCI,,49.04,cc
2022-09-29,"MADRAS SPICE RESTAURANT VANCOUVER, BC",20.22,,cc
2022-09-29,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95,chk
2022-09-29,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,,chk
2022-09-28,"BREKA BAKERY & CAFE VANCOUVER, BC",4.62,,cc
2022-09-28,"HOUSE OF DOSA VANCOUVER, BC",23.09,,cc
2022-09-28,Internet Banking INTERNET TRANSFER 000000107243,49.04,,chk
2022-09-28,Internet Banking INTERNET TRANSFER 000000137538,192.76,,chk
2022-09-27,"SQ *DOLCE AMORE Vancouver, BC",12.65,,cc
2022-09-27,"STARBUCKS 04464 VANCOUVER, BC",13.30,,cc
2022-09-26,"DOLLAR TREE CANADA #40011 VANCOUVER, BC",3.36,,cc
2022-09-26,"APNA BHAIA SWEET & RESTAU VANCOUVER, BC",24.68,,cc
2022-09-26,Electronic Funds Transfer GIC Short-Term GIC,,1004.99,chk
2022-09-23,"STARBUCKS 04464 VANCOUVER, BC",5.80,,cc
2022-09-23,"STARBUCKS 04464 VANCOUVER, BC",6.53,,cc
2022-09-23,"DHALIWAL SWEETS ABBOTSFOR SURREY, BC",7.88,,cc
2022-09-23,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",9.97,,cc
2022-09-22,"Subway 13197 Vancouver, BC",13.55,,cc
2022-09-22,"BUY LOW FOODS VANCOUVER, BC",47.52,,cc
2022-09-22,"BREKA BAKERY & CAFE VANCOUVER, BC",11.17,,cc
2022-09-22,"PUBLIC MOBILE 855-4782542, BC",16.80,,cc
2022-09-22,"Kalais Curry Kitchen VANCOUVER, BC",23.15,,cc
2022-09-21,"7 ELEVEN STORE #21894 VANCOUVER, BC",7.01,,cc
2022-09-20,PAYMENT THANK YOU/PAIEMEN T MERCI,,158.15,cc
2022-09-19,"STARBUCKS 04464 VANCOUVER, BC",3.91,,cc
2022-09-19,"STARBUCKS 04464 VANCOUVER, BC",3.62,,cc
2022-09-19,"REXALL PHARMACY #7159 VANCOUVER, BC",11.18,,cc
2022-09-19,"Kalais Curry Kitchen VANCOUVER, BC",7.35,,cc
2022-09-19,Internet Banking INTERNET TRANSFER 000000226472,158.15,,chk
2022-09-19,Point of Sale - Interac RETAIL PURCHASE 226012989193 STARBUCKS #0446,12.57,,chk
2022-09-15,"SQ *EARLS BRIDGE PARK Burnaby, BC",8.28,,cc
2022-09-15,"BRENTWOOD LANES CANADA LT BURNABY, BC",28.42,,cc
2022-09-15,"CHETTINAD DOSA PALACE BURNABY, BC",22.69,,cc
2022-09-15,"OSMOW'S RICHMOND, BC",20.14,,cc
2022-09-14,"SQ *DOLCE AMORE Vancouver, BC",7.00,,cc
2022-09-14,"HOUSE OF DOSA VANCOUVER, BC",25.98,,cc
2022-09-13,PAYMENT THANK YOU/PAIEMEN T MERCI,,178.95,cc
2022-09-12,"STARBUCKS 04464 VANCOUVER, BC",12.81,,cc
2022-09-12,"STARBUCKS 04464 VANCOUVER, BC",5.80,,cc
2022-09-12,"MADRAS SPICE RESTAURANT VANCOUVER, BC",16.31,,cc
2022-09-12,Internet Banking INTERNET TRANSFER 000000130393,178.95,,chk
2022-09-09,"BUY LOW FOODS VANCOUVER, BC",25.22,,cc
2022-09-08,"JAMBO GRILL VANCOUVER, BC",36.42,,cc
2022-09-07,"CELSIUS VANCOUVER, BC",10.55,,cc
2022-09-07,"PEAKED PIES WHISTLER, BC",5.94,,cc
2022-09-07,"CARAMBA RESTAURANT WHISTLER, BC",17.69,,cc
2022-09-07,Electronic Funds Transfer CREDIT MEMO 459719 SFU BBY PAYMENT,,1500.00,chk
2022-09-06,"COMPASS WEB 604-398-2042, BC",20.00,,cc
2022-09-06,"BC LIQUOR #237 VANCOUVER, BC",18.76,,cc
2022-09-06,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",8.48,,cc
2022-09-06,"Kalais Curry Kitchen VANCOUVER, BC",15.75,,cc
2022-09-02,PAYMENT THANK YOU/PAIEMEN T MERCI,,274.88,cc
2022-09-01,"Earnest Ice Cream Fraser Vancouver, BC",6.50,,cc
2022-09-01,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",3.14,,cc
2022-09-01,"DHALIWAL SWEETS ABBOTSFOR SURREY, BC",10.50,,cc
2022-09-01,Internet Banking INTERNET TRANSFER 000000104724,274.88,,chk
2022-09-01,Internet Banking E-TRANSFER 104225483767 Raymond Kwong,800.00,,chk
2022-08-31,Branch Transaction INTEREST,,3.36,sav
2022-08-31,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95,chk
2022-08-31,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,,chk
2022-08-30,"BUY LOW FOODS #8 VANCOUVER, BC",40.81,,cc
2022-08-29,Internet Banking E-TRANSFER 104219394774 Agent Z,50.00,,chk
2022-08-26,"LONDON DRUGS POST OUTLET VANCOUVER, BC",48.46,,cc
2022-08-26,"Kalais Curry Kitchen VANCOUVER, BC",16.80,,cc
2022-08-25,"GARDEN FRESH FOOD & GROC VANCOUVER, BC",10.66,,cc
2022-08-25,Point of Sale - Interac RETAIL PURCHASE 000061301664 SHAWARMA CAFE,18.44,,chk
2022-08-24,"HOUSE OF DOSA VANCOUVER, BC",16.91,,cc
2022-08-24,"BREKA BAKERY & CAFE VANCOUVER, BC",6.06,,cc
2022-08-24,"BUY LOW FOODS #8 VANCOUVER, BC",13.49,,cc
2022-08-24,"PRAGUERY FOOD BOZKA VANCOUVER, BC",13.20,,cc
2022-08-23,"PUBLIC MOBILE 855-4782542, BC",11.20,,cc
2022-08-22,"SQ *TANDOORI OVEN RESTAUR Vancouver, BC",29.50,,cc
2022-08-22,"DOLLAR TREE CANADA #40011 VANCOUVER, BC",3.36,,cc
2022-08-22,"BUY LOW FOODS #8 VANCOUVER, BC",10.21,,cc
2022-08-22,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",1.99,,cc
2022-08-22,"BREKA BAKERY & CAFE VANCOUVER, BC",4.83,,cc
2022-08-19,"Subway 13197 Vancouver, BC",11.45,,cc
2022-08-19,"BUY LOW FOODS #8 VANCOUVER, BC",38.69,,cc
2022-08-19,PAYMENT THANK YOU/PAIEMEN T MERCI,,155.58,cc
2022-08-19,"DHALIWAL SWEETS ABBOTSFOR SURREY, BC",7.88,,cc
2022-08-18,"GARDEN FRESH FOOD & GROC VANCOUVER, BC",5.08,,cc
2022-08-18,"CELSIUS VANCOUVER, BC",9.94,,cc
2022-08-18,CASHBACK/REMISE EN ARGENT,,25.64,cc
2022-08-18,Internet Banking INTERNET TRANSFER 000000218533,155.58,,chk
2022-08-15,"BREKA BAKERY & CAFE VANCOUVER, BC",19.56,,cc
2022-08-15,"DHALIWAL SWEETS ABBOTSFOR SURREY, BC",21.76,,cc
2022-08-15,"Kalais Curry Kitchen VANCOUVER, BC",7.35,,cc
2022-08-15,"BUY LOW FOODS #8 VANCOUVER, BC",21.98,,cc
2022-08-15,"TIM HORTONS #8430 VANCOUVER, BC",8.24,,cc
2022-08-12,"Subway 13945 Vancouver, BC",9.03,,cc
2022-08-12,"JUGO JUICE VANCOUVER, BC",8.61,,cc
2022-08-12,"BREKA BAKERY & CAFE VANCOUVER, BC",11.17,,cc
2022-08-11,Electronic Funds Transfer GIC Short-Term GIC,,1004.36,chk
2022-08-10,"HOUSE OF DOSA VANCOUVER, BC",13.62,,cc
2022-08-09,"SHELL C01213 VANCOUVER, BC",4.39,,cc
2022-08-09,"DELHI 6 INDIAN BISTRO VANCOUVER, BC",20.34,,cc
2022-08-08,"CELSIUS VANCOUVER, BC",9.94,,cc
2022-08-08,PAYMENT THANK YOU/PAIEMEN T MERCI,,245.08,cc
2022-08-08,"Kalais Curry Kitchen VANCOUVER, BC",12.90,,cc
2022-08-08,Point of Sale - Interac RETAIL PURCHASE 000061301941 SHAWARMA CAFE,16.79,,chk
2022-08-05,"CELSIUS VANCOUVER, BC",9.91,,cc
2022-08-05,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",8.48,,cc
2022-08-05,"Kalais Curry Kitchen VANCOUVER, BC",4.20,,cc
2022-08-05,Internet Banking INTERNET TRANSFER 000000232675,245.08,,chk
2022-08-04,"DOLLAR TREE CANADA #40011 VANCOUVER, BC",3.36,,cc
2022-08-04,"BUY LOW FOODS #8 VANCOUVER, BC",34.02,,cc
2022-08-03,"SQ *DOLCE AMORE Vancouver, BC",7.00,,cc
2022-08-03,"BREKA BAKERY & CAFE VANCOUVER, BC",9.50,,cc
2022-08-03,PAYMENT THANK YOU/PAIEMEN T MERCI,,294.22,cc
2022-08-02,"SQ *DOLCE AMORE Vancouver, BC",8.00,,cc
2022-08-02,"BREKA BAKERY & CAFE VANCOUVER, BC",25.40,,cc
2022-08-02,"ROGERS ******7789 888-764-3771, ON",,56.00,cc
2022-08-02,"FIDO Mobile ******7789 888-764-3771, ON",30.59,,cc
2022-08-02,"FIDO Mobile ******7789 888-764-3771, ON",56.00,,cc
2022-08-02,"MADRAS SPICE RESTAURANT VANCOUVER, BC",23.54,,cc
2022-08-02,"SHELL C01024 VANCOUVER, BC",18.67,,cc
2022-08-02,"LIQUOR 56 VANCOUVER, BC",19.48,,cc
2022-08-02,"DHALIWAL SWEETS ABBOTSFOR SURREY, BC",10.24,,cc
2022-08-02,"CHICKO CHICKEN VANCOUVER VANCOUVER, BC",15.18,,cc
2022-08-02,"Kalais Curry Kitchen VANCOUVER, BC",4.20,,cc
2022-08-02,Internet Banking E-TRANSFER 010549317047 Raymond Kwong,800.00,,chk
2022-08-02,Internet Banking INTERNET TRANSFER 000000131583,294.22,,chk
2022-07-29,Branch Transaction INTEREST,,2.13,sav
2022-07-29,"BUY LOW FOODS #8 VANCOUVER, BC",10.78,,cc
2022-07-29,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95,chk
2022-07-29,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,,chk
2022-07-28,"COMPASS WEB 604-398-2042, BC",20.00,,cc
2022-07-28,"IMMIGRATION CANADA ONLINE OTTAWA, ON",100.00,,cc
2022-07-27,"SHELL C01024 VANCOUVER, BC",5.24,,cc
2022-07-27,"Kalais Curry Kitchen VANCOUVER, BC",4.20,,cc
2022-07-27,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",21.15,,cc
2022-07-26,"BUY LOW FOODS #8 VANCOUVER, BC",24.76,,cc
2022-07-26,"VANCOUVER MEAT MARKET LTD VANCOUVER, BC",14.25,,cc
2022-07-26,PAYMENT THANK YOU/PAIEMEN T MERCI,,245.08,cc
2022-07-25,"VPN* PXKMSHX3NK GOTHENBURG, S 15.00 EUR @ 1.354000",20.31,,cc
2022-07-25,"PUBLIC MOBILE 855-4782542, BC",16.80,,cc
2022-07-25,"Kalais Curry Kitchen VANCOUVER, BC",25.50,,cc
2022-07-25,"WEST COAST LIQUOR COMPANY VANCOUVER, BC",31.23,,cc
2022-07-25,Internet Banking INTERNET TRANSFER 000000227261,245.08,,chk
2022-07-22,"CINEPLEX REC ROOM 1001 BURNABY, BC",19.82,,cc
2022-07-22,"REAL CDN SUPERSTORE #1 VANCOUVER, BC",135.52,,cc
2022-07-21,"JAMBO GRILL VANCOUVER, BC",36.10,,cc
2022-07-20,"Kalais Curry Kitchen VANCOUVER, BC",18.90,,cc
2022-07-18,"AMZN Mktp CA*YI5YY6NB3 WWW.AMAZON.CA, ON",7.83,,cc
2022-07-18,"DAIRY QUEEN #26984 VANCOUVER, BC",5.28,,cc
2022-07-15,"JUGO JUICE VANCOUVER, BC",14.12,,cc
2022-07-15,PAYMENT THANK YOU/PAIEMEN T MERCI,,357.60,cc
2022-07-14,"BREKA BAKERY & CAFE VANCOUVER, BC",7.51,,cc
2022-07-14,Internet Banking INTERNET TRANSFER 000000208680,357.60,,chk
2022-07-13,"BUY LOW FOODS #8 VANCOUVER, BC",26.47,,cc
2022-07-13,"HOUSE OF DOSA VANCOUVER, BC",26.61,,cc
2022-07-12,Internet Banking INTERNET DEPOSIT 000000238193,,1050.00,chk
2022-07-11,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",5.15,,cc
2022-07-08,"SALMON N BANNOCK BISTR VANCOUVER, BC",53.45,,cc
2022-07-08,"TIM HORTONS #2089 VANCOUVER, BC",9.71,,cc
2022-07-07,"LA PREP VANCOUVER, BC",16.78,,cc
2022-07-06,"Kalais Curry Kitchen VANCOUVER, BC",16.80,,cc
2022-07-05,"CHURCH'S CHICKEN VANCOUVER, BC",23.97,,cc
2022-07-04,"BREKA BAKERY & CAFE VANCOUVER, BC",11.02,,cc
2022-07-04,"BUY LOW FOODS #8 VANCOUVER, BC",26.47,,cc
2022-07-04,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",12.47,,cc
2022-07-04,"Kalais Curry Kitchen VANCOUVER, BC",16.80,,cc
2022-07-04,Internet Banking E-TRANSFER 104165404943 Raymond Kwong,800.00,,chk
2022-06-30,Branch Transaction INTEREST,,1.56,sav
2022-06-30,"BUY LOW FOODS #8 VANCOUVER, BC",40.25,,cc
2022-06-30,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95,chk
2022-06-30,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,,chk
2022-06-29,Electronic Funds Transfer GIC Short-Term GIC,,1003.77,chk
2022-06-27,"Kalais Curry Kitchen VANCOUVER, BC",24.20,,cc
2022-06-27,"MADRAS SPICE RESTAURANT VANCOUVER, BC",19.54,,cc
2022-06-27,"7-ELEVEN STORE #25164 VANCOUVER, BC",19.44,,cc
2022-06-27,Point of Sale - Interac RETAIL PURCHASE 992064190625 DUFFINS DONUTS,15.35,,chk
2022-06-24,CREDIT ADJUSTMENT,,0.17,cc
2022-06-23,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",8.64,,cc
2022-06-23,PAYMENT THANK YOU/PAIEMEN T MERCI,,38.78,cc
2022-06-23,PAYMENT THANK YOU/PAIEMEN T MERCI,,460.05,cc
2022-06-22,"HOUSE OF DOSA VANCOUVER, BC",38.78,,cc
2022-06-22,Internet Banking INTERNET TRANSFER 000000224032,38.78,,chk
2022-06-22,Internet Banking INTERNET TRANSFER 000000223675,460.05,,chk
2022-06-20,"BUY LOW FOODS #8 VANCOUVER, BC",51.55,,cc
2022-06-20,"Kalais Curry Kitchen VANCOUVER, BC",8.40,,cc
2022-06-20,"COMPASS WEB 604-398-2042, BC",20.00,,cc
2022-06-20,"BC LIQUOR #237 VANCOUVER, BC",138.12,,cc
2022-06-20,"POPEYES #13590 RICHMOND, BC",13.00,,cc
2022-06-16,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",3.13,,cc
2022-06-16,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",6.23,,cc
2022-06-15,"SUPER SPICE HOUSE VANCOUVER, BC",13.14,,cc
2022-06-13,"MADRAS SPICE RESTAURANT VANCOUVER, BC",16.31,,cc
2022-06-13,"Kalais Curry Kitchen VANCOUVER, BC",4.20,,cc
2022-06-13,"DONAIR DUDE VANCOUVER, BC",20.83,,cc
2022-06-13,"BUY LOW FOODS #8 VANCOUVER, BC",4.99,,cc
2022-06-13,Internet Banking INTERNET DEPOSIT 000000221540,,930.00,chk
2022-06-10,"7-ELEVEN STORE #25164 VANCOUVER, BC",1.56,,cc
2022-06-10,"Subway 13197 Vancouver, BC",13.23,,cc
2022-06-10,"Kalais Curry Kitchen VANCOUVER, BC",7.35,,cc
2022-06-09,"BUY LOW FOODS #8 VANCOUVER, BC",9.63,,cc
2022-06-08,"HOUSE OF DOSA VANCOUVER, BC",16.89,,cc
2022-06-07,PAYMENT THANK YOU/PAIEMEN T MERCI,,295.81,cc
2022-06-06,"CINEPLEX REC ROOM 1001 BURNABY, BC",36.56,,cc
2022-06-06,"FIDO Mobile ******7789 888-764-3771, ON",56.00,,cc
2022-06-06,"BUY LOW FOODS #8 VANCOUVER, BC",18.93,,cc
2022-06-06,Internet Banking INTERNET TRANSFER 000000214103,295.81,,chk
2022-06-02,"OSMOWS BRIDGEPORT RICHMOND, BC",30.81,,cc
2022-06-02,"MADRAS SPICE RESTAURANT VANCOUVER, BC",20.39,,cc
2022-06-01,Internet Banking INTERNET DEPOSIT 000000138485,,2790.00,chk
2022-06-01,Internet Banking E-TRANSFER 104133793283 1173402 B.C. LTD.,,300.00,chk
2022-05-31,Branch Transaction INTEREST,,1.19,sav
2022-05-31,"REAL CDN SUPERSTORE #1 VANCOUVER, BC",106.88,,cc
2022-05-31,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95,chk
2022-05-31,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,,chk
2022-05-30,"Kalais Curry Kitchen VANCOUVER, BC",7.35,,cc
2022-05-30,"VPN* WY5UAFLBWK GOTHENBURG, S 5.00 EUR @ 1.406000",7.03,,cc
2022-05-30,"BREKA BAKERY & CAFE VANCOUVER, BC",11.02,,cc
2022-05-30,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",6.98,,cc
2022-05-30,Internet Banking E-TRANSFER 104130716968 Raymond Kwong,800.00,,chk
2022-05-25,PAYMENT THANK YOU/PAIEMEN T MERCI,,165.45,cc
2022-05-24,"FRASER MARKET VANCOUVER, BC",17.64,,cc
2022-05-24,"DELHI 6 INDIAN BISTRO VANCOUVER, BC",34.88,,cc
2022-05-24,"CINEPLEX REC ROOM 1001 BURNABY, BC",42.33,,cc
2022-05-24,"Kalais Curry Kitchen VANCOUVER, BC",10.50,,cc
2022-05-24,Internet Banking INTERNET TRANSFER 000000111127,165.45,,chk
2022-05-20,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",13.88,,cc
2022-05-19,"BUY LOW FOODS #8 VANCOUVER, BC",4.99,,cc
2022-05-18,"DNH*GODADDY.COM CANADA VICTORIA, BC",30.89,,cc
2022-05-17,"SHELL C01024 VANCOUVER, BC",17.80,,cc
2022-05-17,Electronic Funds Transfer GIC Short-Term GIC,,1003.18,chk
2022-05-16,"BUY LOW FOODS #8 VANCOUVER, BC",23.42,,cc
2022-05-16,"MADRAS SPICE RESTAURANT VANCOUVER, BC",18.47,,cc
2022-05-16,"FIDO Mobile ******7789 888-764-3771, ON",56.00,,cc
2022-05-13,PAYMENT THANK YOU/PAIEMEN T MERCI,,198.31,cc
2022-05-12,Internet Banking INTERNET TRANSFER 000000137162,198.31,,chk
2022-05-06,Branch Transaction SMART INTEREST,,0.36,sav
2022-05-05,"FRASER MARKET VANCOUVER, BC",18.26,,cc
2022-05-05,CASHBACK/REMISE EN ARGENT,,31.76,cc
2022-05-05,"TIM HORTONS #8430 VANCOUVER, BC",5.24,,cc
2022-05-05,"FRUITICANA #25 VANCOUVER VANCOUVER, BC",8.83,,cc
2022-05-04,"DOLLAR TREE CANADA #40011 VANCOUVER, BC",3.36,,cc
2022-05-04,"BREKA BAKERY & CAFE VANCOUVER, BC",12.74,,cc
2022-05-04,"BLOO BBY RESTAURANT BURNABY, BC",27.68,,cc
2022-05-04,"REAL CDN SUPERSTORE #1 VANCOUVER, BC",73.55,,cc
2022-05-03,PAYMENT THANK YOU/PAIEMEN T MERCI,,85.37,cc
2022-05-02,"BUY LOW FOODS #8 VANCOUVER, BC",35.16,,cc
2022-05-02,"WEST COAST LIQUOR COMPANY VANCOUVER, BC",45.25,,cc
2022-05-02,Internet Banking E-TRANSFER 104104923794 Raymond Kwong,800.00,,chk
2022-05-02,Internet Banking INTERNET TRANSFER 000000122248,85.37,,chk
2022-05-02,Internet Banking INTERNET DEPOSIT 000000110684,,3500.00,chk
2022-04-29,Branch Transaction INTEREST,,0.50,sav
2022-04-29,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95,chk
2022-04-29,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,,chk
2022-04-25,"Amazon.ca Prime Member amazon.ca/pri, BC",4.47,,cc
2022-04-25,"BREKA BAKERY & CAFE VANCOUVER, BC",14.11,,cc
2022-04-25,"BUY LOW FOODS #8 VANCOUVER, BC",59.44,,cc
2022-04-25,"Kalais Curry Kitchen VANCOUVER, BC",7.35,,cc
2022-04-22,PAYMENT THANK YOU/PAIEMEN T MERCI,,207.29,cc
